Entity,Code,Year,Prevalence of current tobacco use (% of adults),Continent,Prevalence of current tobacco use (% of adults),Year
Abkhazia,OWID_ABK,2015,,Asia,,
Afghanistan,AFG,2000,36.90000153,,23.79999924,2018
Afghanistan,AFG,2005,32.70000076,,23.79999924,2018
Afghanistan,AFG,2010,29.10000038,,23.79999924,2018
Afghanistan,AFG,2015,26,Asia,23.79999924,2018
Afghanistan,AFG,2018,23.79999924,,23.79999924,2018
Afghanistan,AFG,2019,23.79999924,,23.79999924,2018
Afghanistan,AFG,2020,23.29999924,,23.79999924,2018
Akrotiri and Dhekelia,OWID_AKD,2015,,Asia,,
Albania,ALB,2000,35,,23,2018
Albania,ALB,2005,31.29999924,,23,2018
Albania,ALB,2010,28,,23,2018
Albania,ALB,2015,25.10000038,Europe,23,2018
Albania,ALB,2018,23,,23,2018
Albania,ALB,2019,23,,23,2018
Albania,ALB,2020,22.39999962,,23,2018
Algeria,DZA,2000,22.20000076,,21,2018
Algeria,DZA,2005,21.79999924,,21,2018
Algeria,DZA,2010,21.5,,21,2018
Algeria,DZA,2015,21.10000038,Africa,21,2018
Algeria,DZA,2018,21,,21,2018
Algeria,DZA,2019,21,,21,2018
Algeria,DZA,2020,21,,21,2018
American Samoa,ASM,2015,,Oceania,,
Andorra,AND,2000,35.90000153,,32,2018
Andorra,AND,2005,34.79999924,,32,2018
Andorra,AND,2010,34,,32,2018
Andorra,AND,2015,33,Europe,32,2018
Andorra,AND,2018,32,,32,2018
Andorra,AND,2019,32,,32,2018
Andorra,AND,2020,31.79999924,,32,2018
Angola,AGO,2015,,Africa,,
Anguilla,AIA,2015,,North America,,
Antarctica,ATA,2015,,Antarctica,,
Antigua and Barbuda,ATG,2015,,North America,,
Argentina,ARG,2000,34,,24.89999962,2018
Argentina,ARG,2005,31.5,,24.89999962,2018
Argentina,ARG,2010,28.89999962,,24.89999962,2018
Argentina,ARG,2015,26.60000038,South America,24.89999962,2018
Argentina,ARG,2018,24.89999962,,24.89999962,2018
Argentina,ARG,2019,24.89999962,,24.89999962,2018
Argentina,ARG,2020,24.5,,24.89999962,2018
Armenia,ARM,2000,32,,25.79999924,2018
Armenia,ARM,2005,30.29999924,,25.79999924,2018
Armenia,ARM,2010,28.60000038,,25.79999924,2018
Armenia,ARM,2015,26.89999962,Asia,25.79999924,2018
Armenia,ARM,2018,25.79999924,,25.79999924,2018
Armenia,ARM,2019,25.79999924,,25.79999924,2018
