"","Entity","Year","Daily_Sales_per_Adult","Percent_of_GDP"
"1","Afghanistan",2010,NA,4.05
"2","Afghanistan",2012,NA,4.45
"3","Afghanistan",2014,NA,5.54
"4","Afghanistan",2016,NA,8.5
"5","Afghanistan",2018,NA,8.22
"6","Afghanistan",2020,NA,7.79
"7","Albania",2010,NA,3.52
"8","Albania",2012,NA,3.7
"9","Albania",2014,NA,4.14
"10","Albania",2016,NA,4.49
"11","Albania",2018,NA,4.21
"12","Albania",2020,NA,4.56
"13","Algeria",2010,NA,2.55
"14","Algeria",2012,NA,1.97
"15","Algeria",2014,NA,3.41
"16","Algeria",2016,NA,4.9
"17","Algeria",2018,NA,6.31
"18","Algeria",2020,NA,7.26
"19","Andorra",2010,NA,0.78
"20","Andorra",2012,NA,1.03
"21","Andorra",2014,NA,1.13
"22","Andorra",2016,NA,1.03
"23","Andorra",2018,NA,1.02
"24","Andorra",2020,NA,1
"25","Angola",2012,NA,3
"26","Angola",2014,NA,3.62
"27","Angola",2018,NA,4.92
"28","Angola",2020,NA,7.86
"29","Antigua and Barbuda",2010,NA,1.77
"30","Antigua and Barbuda",2012,NA,1.74
"31","Antigua and Barbuda",2014,NA,2.12
"32","Antigua and Barbuda",2016,NA,1.9
"33","Antigua and Barbuda",2018,NA,1.76
"34","Antigua and Barbuda",2020,NA,3.69
"35","Argentina",2010,NA,1.32
"36","Argentina",2012,NA,1.27
"37","Argentina",2014,NA,1.35
"38","Argentina",2016,NA,2.12
"39","Argentina",2018,NA,1.84
"40","Argentina",2020,NA,2.37
"41","Armenia",1988,12,NA
"42","Armenia",1989,11.60000038,NA
"43","Armenia",1990,11.89999962,NA
"44","Armenia",1991,9.300000191,NA
"45","Armenia",1992,4.900000095,NA
"46","Armenia",1993,5.5,NA
"47","Armenia",1994,5.699999809,NA
"48","Armenia",1995,5.599999905,NA
"49","Armenia",1996,5.599999905,NA
"50","Armenia",1997,5.599999905,NA
"51","Armenia",1998,5.699999809,NA
"52","Armenia",2010,NA,4.72
"53","Armenia",2012,NA,4.18
"54","Armenia",2014,NA,3.71
"55","Armenia",2016,NA,3.54
"56","Armenia",2018,NA,3.36
"57","Armenia",2020,NA,3.28
"58","Australia",1920,1.600000024,NA
"59","Australia",1921,1.799999952,NA
"60","Australia",1922,1.600000024,NA
"61","Australia",1923,1.5,NA
"62","Australia",1924,1.600000024,NA
"63","Australia",1925,2.799999952,NA
"64","Australia",1926,1.600000024,NA
"65","Australia",1927,1.700000048,NA
"66","Australia",1928,1.799999952,NA
"67","Australia",1929,1.799999952,NA
"68","Australia",1930,3.700000048,NA
"69","Australia",1931,1.200000048,NA
"70","Australia",1932,1.100000024,NA
